year,temperature
1997,272.6349792480469
1998,279.45904541015625
1999,280.4976501464844
2000,279.7692565917969
2001,280.47686767578125
2002,274.58197021484375
2003,279.9645690917969
2004,278.7060241699219
2005,279.7602844238281
2006,279.08807373046875
2007,286.53277587890625
2008,280.28741455078125
2009,274.7131042480469
2010,274.079833984375
2011,277.0386047363281
2012,280.3711853027344
2013,278.7485046386719
2014,280.10357666015625
2015,282.1637878417969
2016,267.5120544433594
2017,277.4589538574219
