year,temperature
1997,286.63785597857304
1998,286.30274155560664
1999,286.77722826191024
2000,286.3774262471916
2001,286.361953037237
2002,286.4321833591835
2003,287.2122349957236
2004,286.7250471925424
2005,286.6071934918173
2006,287.35079577078227
2007,298.22859999712773
2008,286.6130091847937
2009,286.65361451791
2010,286.30839129678566
2011,286.20084136763427
2012,285.8771980634702
2013,286.46427827722886
2014,286.93826194214665
2015,285.7976271685432
2016,271.09802525339563
2017,286.7826318678513
